Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,
Yu-Gi-Oh: Duel Monsters 4,GB,2000,Role-Playing,Konami Digital Entertainment,0,0,2.17,0.01,2.18,,,,,,,
Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0,0.01,0.61,62,19,8.9,39,Webfoot Technologies,E,
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,63,32,7.8,16,Climax Group,E,
Elminage Gothic: Ulm Zakir to Yami no Gishiki,PSP,2012,Role-Playing,Starfish,0,0,0.02,0,0.02,,,,,,,
Warriors Orochi 2,PS2,2008,Action,Tecmo Koei,0.06,0.05,0,0.02,0.13,52,9,8.5,13,Omega Force,T,
Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,0.08,0.01,0.07,0.01,0.18,84,41,7.8,38,Opus,E10+,
Kidou Senkan Nadesico,SAT,1997,Strategy,Sega,0,0,0.15,0,0.15,,,,,,,
Allied General,PS,1996,Strategy,SSI,0.11,0.07,0,0.01,0.19,,,,,,,
Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.03,0.01,0.08,0.98,44,19,6.6,25,Altron,E,
Eve: Burst Error R,PSV,2016,Action,Red Flagship,0,0,0.01,0,0.01,,,,,,,
Toukiden 2,PSV,2016,Action,Tecmo Koei,0,0,0.11,0,0.11,,,,,,,
ZhuZhu Babies,DS,2011,Simulation,Activision,0.06,0.01,0,0.01,0.08,,,,,Activision,E,
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.02,0,0.09,1.24,,,,,,,
George of the Jungle and the Search for the Secret,DS,2008,Platform,Ignition Entertainment,0.05,0,0,0,0.05,44,4,,,Crave,E,
Chicken Shoot,GBA,2005,Action,Zoo Digital Publishing,0.03,0.01,0,0,0.04,,,,,,,
Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.41,0,0,0,0.41,,,8.6,50,Core Design Ltd.,T,
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0,0,0.39,0,0.39,,,,,,,
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.38,0.04,0,0.05,0.47,79,27,6.4,54,Harmonix Music Systems,T,
We Sing Pop!,Wii,2012,Misc,Nordic Games,0.05,0.15,0,0.02,0.22,,,,,,,
Neverwinter Nights Diamond,PC,2004,Role-Playing,Atari,0,0.02,0,0,0.02,,,8.2,11,BioWare,M,
Stuntman: Ignition,X360,2007,Racing,THQ,0.25,0.31,0,0.07,0.64,75,38,7.3,31,Paradigm Entertainment,T,
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,0.36,89,55,8.5,2530,Valve Software,M,
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,,
San Francisco Rush: Extreme Racing,N64,1997,Racing,GT Interactive,0.63,0.11,0,0.01,0.75,,,,,,,
Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,,,,,,,
Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79,70,10,,,Konami,E10+,
The Rise of the Argonauts,X360,2008,Role-Playing,Codemasters,0.03,0.12,0,0.01,0.17,,,,,,,
FIFA Street 2,PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,59,27,7.7,42,EA Canada,E,
Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,61,4,7.8,4,Natsume,T,
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,,,5.2,242,BioWare,M,
Kirby Air Ride,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62,61,28,7.9,69,HAL Labs,E,
Tom Clancy's EndWar,PSP,2008,Strategy,Ubisoft,0.1,0.01,0,0.01,0.11,68,7,5.9,8,"Funatics Software, Funatics",T,
Kenshuui Tendo Dokuta,DS,2004,Simulation,Spike,0,0,0.08,0,0.08,,,,,,,
Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom,0.27,0.01,0,0.03,0.31,79,34,8.3,44,Capcom,E10+,
Last Window: The Secret of Cape West,DS,2010,Adventure,Nintendo,0,0.11,0.09,0.02,0.22,,,,,,,
Top Gear Overdrive,N64,1998,Racing,Kemco,0.23,0.06,0,0,0.29,,,,,,,
Rayman Advance,GBA,2001,Platform,Ubisoft,0.36,0.13,0,0.01,0.5,84,17,8.4,16,Digital Eclipse,E,
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,,
Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo,0.17,0.13,0,0.03,0.32,65,26,8.2,5,Sanzaru Games,E,
Looney Tunes: Space Race,PS2,2002,Racing,Infogrames,0.1,0.08,0,0.03,0.2,62,14,,,Tantalus Interactive,E,
ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0,0.04,0.95,85,28,8.7,22,Visual Concepts,E,
The Ripping Friends,GBA,2002,Action,THQ,0.03,0.01,0,0,0.04,38,12,,,Creations,E,
Gakuen K: Wonderful School Days,PSP,2014,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,,
Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,,,,,,,
The Legend of Spyro: Dawn of the Dragon,X360,2008,Platform,Vivendi Games,0.16,0.12,0,0.03,0.31,62,35,7.2,26,Etranges Libellules,E10+,
Atari's Greatest Hits: Volume 1,DS,2010,Misc,Atari,0.13,0,0,0.01,0.14,,,,,,,
Densha De Go!,PS,1997,Simulation,Taito,0,0,1.02,0.07,1.09,,,,,,,
Disney Sports Soccer,GBA,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03,68,5,,,Konami,E,
Bejeweled 3,PS3,N/A,Puzzle,Unknown,0.13,0,0,0.02,0.14,76,5,8.2,5,PopCap,E,
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,,,7.6,193,Tango Gameworks,M,
ZooCube,GC,2002,Puzzle,Acclaim Entertainment,0.02,0,0,0,0.02,67,15,6.1,7,PuzzleKings,E,
J-League Jikkyou Winning Eleven 2000,PS,2000,Sports,Konami Digital Entertainment,0,0,0.15,0.01,0.16,,,,,,,
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.03,0.05,0,0.01,0.09,,,,,,,
Geten no Hana: Yume Akari,PSP,2014,Misc,Tecmo Koei,0,0,0.01,0,0.01,,,,,,,
Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,Nintendo,0,0,0.05,0,0.05,,,,,,,
Smash Court Tennis Pro Tournament 2,PS2,2004,Sports,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,74,41,9.1,12,Namco,E,
Wreckin Crew,PS,1998,Racing,Telstar,0.05,0.03,0,0.01,0.08,,,,,,,
Rock Band Track Pack Volume 2,PS2,2008,Misc,MTV Games,0.06,0.05,0,0.02,0.12,,,,,Harmonix Music Systems,T,
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.12,1.87,0.27,0.45,3.72,,,,,,,
Apache: Air Assault,PC,2010,Simulation,Just Flight,0,0.03,0,0,0.03,64,7,7.5,18,Gaijin Entertainment,T,
Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0,0.02,0.18,54,13,4.7,13,Red Fly Studio,E10+,
Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.07,60,7,7.5,29,Kadokawa,M,
G-Police: Weapons of Justice,PS,1999,Action,Psygnosis,0.03,0.02,0,0,0.06,,,,,,,
Skylanders: Trap Team,XOne,2014,Action,Activision,0.26,0.07,0,0.04,0.37,,,,,,,
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,,
Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0,0.01,0.33,76,28,7.9,14,Treyarch,T,
Bejeweled 3,PC,2010,Puzzle,PopCap Games,0.02,0.05,0,0.01,0.08,82,27,8.1,86,PopCap,E,
The Godfather: Mob Wars,PSP,2006,Action,Electronic Arts,0.09,0,0,0.01,0.1,59,34,7.9,16,Page 44 Studios,M,
Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13,,,,,,,
IGT Slots: Lucky Larry's Lobstermania,PC,2011,Simulation,Masque Publishing,0.02,0,0,0,0.02,,,,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,Infinity Ward,M,
Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54,55,24,5.8,52,Spike,T,
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008,Sports,Takara Tomy,0,0,0.01,0,0.01,,,,,,,
Arcana Heart 3,X360,2011,Fighting,PQube,0,0.02,0.02,0,0.05,68,13,,,Examu,T,
Spirits & Spells,GBA,2003,Platform,Wanadoo,0.01,0,0,0,0.01,,,,,,,
Wonder Project J: Kikai no Shonen Pino,SNES,1994,Simulation,Enix Corporation,0,0,0.43,0,0.43,,,,,,,
Monster House,GC,2006,Adventure,THQ,0.11,0.03,0,0,0.14,60,18,,,Artificial Mind and Movement,E10+,
The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96,54,8.9,797,Valve Software,M,
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,0.07,0.06,0,0.02,0.15,,,6.5,4,2K Sports,E,
MotoGP 08,PS3,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39,65,21,6,9,Milestone S.r.l,E,
The Incredible Hulk,Wii,2008,Action,Sega,0.28,0.01,0,0.02,0.31,46,21,,,Edge of Reality,T,
MySims Racing,DS,2009,Racing,Electronic Arts,0.25,0.29,0,0.07,0.61,67,11,7.3,4,EA Games,E,
Kekkaishi: Kokubourou no Kage,Wii,2007,Action,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,,
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,,
"Iza, Shutsujin! Koisen",PSP,2011,Adventure,Quinrose,0,0,0.01,0,0.01,,,,,,,
NHL FaceOff,PS,1994,Sports,Sony Computer Entertainment,0.25,0.17,0,0.03,0.45,,,,,,,
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,Role-Playing,Banpresto,0,0,0.39,0,0.39,,,,,,,
Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,System 3 Arcade Software,0.41,0.03,0,0.04,0.47,82,16,8.8,36,Farsight Studios,E10+,
Dream Chronicles,DS,2010,Adventure,Zoo Games,0.02,0,0,0,0.02,,,,,Kat Games,E,
J-League Pro Striker 2,GEN,1994,Sports,Sega,0,0,0.04,0,0.04,,,,,,,
Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0,0.05,0,0,0.05,83,36,6.9,306,Paradox Development Studio,,
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,,,,,,,
NFL Fever 2004,XB,2003,Sports,Microsoft Game Studios,0.24,0.07,0,0.01,0.32,74,29,8.8,16,Microsoft Game Studios,E,
The Oregon Trail,Wii,2011,Simulation,Crave Entertainment,0.14,0,0,0.01,0.15,,,,,,,
Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,Strategy,Sony Computer Entertainment,0,0,0.11,0,0.11,,,,,,,
Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0,0.08,1.23,,,,,,,
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,0.45,46,5,6.8,5,VIS Entertainment,E,
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09,,,,,,,
Kessen III,PS2,2004,Strategy,Tecmo Koei,0.04,0.03,0,0.01,0.07,73,26,8.1,20,Koei,T,
Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,0,0,0.05,0,0.05,,,,,,,
Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,,
Donkey Kong Country,GB,2000,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,,,,,,,
Tom and Jerry in War of the Whiskers,PS2,2002,Fighting,Ubisoft,0.13,0.1,0,0.03,0.26,,,,,,,
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,0.81,0.11,0,0.13,1.05,81,31,9,36,Zipper Interactive,T,
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,0.39,0.27,0,0.05,0.7,,,,,,,
Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment,0,0,0.92,0.13,1.05,,,,,,,
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,0.45,70,4,8.7,11,TT Games,E10+,
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0,0.11,0.83,83,59,8.8,130,Sucker Punch,E10+,
SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94,,,,,,,
Frogger's Adventures: Temple of the Frog,GBA,N/A,Adventure,Konami Digital Entertainment,2.15,0.18,0,0.07,2.39,73,4,,,Konami Computer Entertainment Hawaii,E,
Knights Contract,X360,2011,Action,Namco Bandai Games,0.05,0.03,0,0.01,0.08,49,41,5.6,16,Game Republic,M,
Tigger's Honey Hunt,N64,2000,Platform,Ubisoft,0.16,0.04,0,0,0.2,,,,,,,
Codename: Panzers Phase Two,PC,2005,Strategy,CDV Software Entertainment,0,0.01,0,0,0.01,80,36,8.1,15,Stormregion,T,
G-Force,PSP,2009,Action,Electronic Arts,0.24,0.06,0,0.05,0.35,,,8.8,4,Keen Games,E10+,
Planetarian: Chiisana Hoshi no Yume,PSP,2009,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,,
Dungeon Maker II: The Hidden War,PSP,2007,Role-Playing,Global A Entertainment,0.06,0,0,0.01,0.07,,,,,Global A,E10+,
Chocolatier,DS,2010,Misc,Zoo Games,0.05,0,0,0,0.05,,,,,Zoo Games,E,
Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54,47,8,5.6,15,Artificial Mind and Movement,T,
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02,70,29,8.7,29,EA Games,E,
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory,0,0,0.02,0,0.02,,,,,,,
Just Dance 2014,Wii,2013,Misc,Ubisoft,1.88,1.39,0,0.31,3.59,,,6.2,10,Ubisoft,E10+,
How to Train Your Dragon,DS,2010,Action,Activision,0.31,0.17,0,0.05,0.53,60,8,,,Griptonite Games,E10+,
Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45,,,,,,,
FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0,0.03,0.4,87,6,4.6,441,EA Canada,E,
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,Take-Two Interactive,0.05,0.04,0,0.01,0.09,,,,,Take-Two Interactive,E,
I Heart Geeks,DS,2011,Puzzle,CDV Software Entertainment,0.02,0,0,0,0.03,,,,,,,
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69,50,7.7,598,Dimps Corporation,T,
Majin and the Forsaken Kingdom,X360,2010,Adventure,Namco Bandai Games,0.14,0.03,0,0.01,0.19,74,46,8.1,24,Game Republic,T,
Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0.01,0.07,50,22,8.1,24,Sting,T,
Biohazard: Revival Selection,X360,2011,Action,Capcom,0,0,0.03,0,0.03,,,,,,,
Wayne Gretzky's 3D Hockey '98,PS,1997,Sports,GT Interactive,0.03,0.02,0,0,0.05,,,,,,,
MotorStorm RC,PSV,2012,Racing,Sony Computer Entertainment,0,0.04,0,0.01,0.06,78,39,6.8,123,Evolution Studios,E,
Thor: God of Thunder,PS3,2011,Action,Sega,0.07,0.05,0,0.02,0.14,39,35,4.4,19,Liquid Entertainment,T,
Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14,,,,,,,
Mini Ninjas,PC,2009,Action,Eidos Interactive,0,0.02,0,0,0.02,74,14,8.3,78,Io Interactive,E10+,
Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,Ubisoft,0.13,0,0,0.01,0.14,,,,,Ubisoft,E,
Hissatsu Pachinko Collection 3,SNES,1995,Misc,Sunsoft,0,0,0.03,0,0.03,,,,,,,
Napoleon Dynamite: The Game,DS,2007,Puzzle,Crave Entertainment,0.02,0,0,0,0.03,45,9,7.3,4,7 Studios,E10+,
Medalot 7,3DS,2012,Action,Rocket Company,0,0,0.13,0,0.13,,,,,,,
Let's Sing 2016,PS4,2015,Action,FuRyu Corporation,0.03,0,0,0.01,0.03,,,,,Voxler,T,
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,LucasArts,0.62,0.16,0,0.02,0.8,75,36,7.6,50,Factor 5,T,
Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.84,0.04,0,0.07,0.95,,,,,,,
Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,2008,Misc,Sega,0,0,0.02,0,0.02,,,,,,,
DoDonPachi Daifukkatsu: Black Label,X360,2011,Shooter,Cave,0,0,0.01,0,0.01,,,,,,,
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,PSP,2011,Fighting,Namco Bandai Games,0,0,0.12,0,0.12,,,,,,,
Fantastic 4,GC,2005,Action,Activision,0.19,0.05,0,0.01,0.24,61,32,4,6,7 Studios,T,
Warriors Orochi 2,X360,2008,Action,Tecmo Koei,0.04,0,0.01,0,0.06,44,28,8.1,15,Omega Force,T,
Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61,,,,,,,
Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,Fighting,SNK,0,0,0.05,0,0.06,,,,,,,
Data East Arcade Classics,Wii,2010,Misc,Majesco Entertainment,0.08,0,0,0.01,0.09,56,7,8.2,5,G1M2,T,
Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,0,0.02,0,0,0.02,62,31,6.5,36,The Tangentlemen,M,
Rango: The Video Game,Wii,2011,Action,Electronic Arts,0.07,0.04,0,0.01,0.12,52,8,,,Behaviour Interactive,E10+,
NBA Live 09,PSP,2008,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39,,,7.3,8,EA Sports,E,
